date,open,high,low,close,volume,dividend,ratio
2018-03-06,853.817,853.817,809.931,816.951,1943069952.0,0.0,1
2018-03-07,816.271,825.607,726.547,752.831,2175419904.0,0.0,1
2018-03-08,752.57,773.767,696.169,704.596,1891640064.0,0.0,1
2018-03-09,702.197,729.156,648.107,728.916,2233019904.0,0.0,1
2018-03-12,724.406,742.514,683.268,699.831,1764999936.0,0.0,1
2018-03-13,698.153,713.735,682.35,690.827,1425959936.0,0.0,1
2018-03-14,691.219,702.784,594.1,614.291,1810560000.0,0.0,1
2018-03-15,614.839,620.616,579.505,611.304,1770460032.0,0.0,1
2018-03-16,611.778,623.168,587.862,601.666,1417350016.0,0.0,1
2018-03-19,546.626,558.1,519.123,556.726,2046790016.0,0.0,1
2018-03-20,556.722,567.09,521.204,557.175,1833680000.0,0.0,1
2018-03-21,559.1,589.607,550.572,561.732,1781270016.0,0.0,1
2018-03-22,562.103,577.566,523.089,539.702,1523459968.0,0.0,1
2018-03-23,539.864,540.487,512.127,539.619,1596349952.0,0.0,1
2018-03-26,524.287,526.379,470.44,489.951,1638880000.0,0.0,1
2018-03-27,489.59,491.459,449.971,450.116,1617939968.0,0.0,1
2018-03-28,450.291,466.211,444.861,446.279,1514179968.0,0.0,1
2018-03-29,448.075,450.813,385.813,385.968,1970230016.0,0.0,1
2018-04-02,379.699,395.171,377.593,386.425,1102259968.0,0.0,1
2018-04-03,387.312,418.968,383.532,416.893,1363399936.0,0.0,1
2018-04-04,416.485,417.472,375.31,380.543,1287730048.0,0.0,1
2018-04-05,379.947,387.716,369.816,383.232,1210680064.0,0.0,1
2018-04-06,382.731,385.195,366.911,370.285,967105984.0,0.0,1
2018-04-09,400.857,429.251,390.61,398.526,1478390016.0,0.0,1
2018-04-10,399.411,415.888,393.879,414.243,1196000000.0,0.0,1
2018-04-11,415.024,430.54,412.471,430.54,1439040000.0,0.0,1
2018-04-12,430.161,493.058,417.413,492.941,2519360000.0,0.0,1
2018-04-13,493.16,526.47,482.659,492.735,2419249920.0,0.0,1
2018-04-16,532.074,534.197,500.25,511.147,1758979968.0,0.0,1
2018-04-17,511.145,518.031,502.564,502.894,1760359936.0,0.0,1
2018-04-18,503.309,525.092,503.045,524.789,1762940032.0,0.0,1
2018-04-19,524.038,567.889,523.262,567.889,2256869888.0,0.0,1
2018-04-20,567.989,618.715,560.283,615.718,2849469952.0,0.0,1
2018-04-23,621.199,646.7,621.035,642.548,2386830080.0,0.0,1
2018-04-24,643.398,708.875,643.398,708.158,3581860096.0,0.0,1
2018-04-25,707.062,707.062,600.212,615.416,4216140032.0,0.0,1
2018-04-26,618.079,663.181,604.007,662.809,2984009984.0,0.0,1
2018-04-27,662.109,684.868,647.032,647.032,2598129920.0,0.0,1
2018-04-30,689.761,694.439,666.117,669.924,2853100032.0,0.0,1
2018-05-01,670.463,674.403,637.54,673.613,2678960128.0,0.0,1
2018-05-02,674.075,688.842,667.42,687.149,2822269952.0,0.0,1
2018-05-03,686.591,784.341,686.591,779.543,4210939904.0,0.0,1
2018-05-04,776.775,803.746,762.632,785.624,3533410048.0,0.0,1
2018-05-07,793.339,795.758,710.178,753.725,4316120064.0,0.0,1
2018-05-08,755.009,774.249,728.129,752.857,2920489984.0,0.0,1
2018-05-09,752.902,759.529,718.472,752.275,2877870080.0,0.0,1
2018-05-10,752.579,766.748,726.664,727.277,2748950016.0,0.0,1
2018-05-11,727.013,736.977,669.825,679.586,3290080000.0,0.0,1
2018-05-14,732.733,742.17,695.792,730.549,3005110016.0,0.0,1
2018-05-15,731.143,739.052,700.995,708.871,2523069952.0,0.0,1
2018-05-16,708.087,710.2,682.541,707.05,2476130048.0,0.0,1
2018-05-17,708.718,718.833,668.834,672.657,2350619904.0,0.0,1
2018-05-18,672.102,695.031,663.809,694.367,2305740032.0,0.0,1
2018-05-21,717.193,719.278,692.494,699.222,2005170048.0,0.0,1
2018-05-22,700.178,700.976,644.026,647.741,2230469888.0,0.0,1
2018-05-23,646.67,651.636,572.952,583.585,2995429888.0,0.0,1
2018-05-24,584.536,610.818,557.206,601.755,2791099904.0,0.0,1
2018-05-25,602.14,617.186,575.624,586.734,2110919936.0,0.0,1
2018-05-29,516.148,572.264,516.148,565.388,2330820096.0,0.0,1
2018-05-30,566.83,583.136,545.431,559.59,2053970048.0,0.0,1
2018-05-31,558.497,585.538,557.066,577.645,1985040000.0,0.0,1
2018-06-01,578.672,589.093,567.665,580.043,1945890048.0,0.0,1
2018-06-04,619.437,623.429,583.747,592.985,1903430016.0,0.0,1
2018-06-05,593.406,611.33,580.982,609.303,1844269952.0,0.0,1
2018-06-06,610.262,611.643,596.396,607.124,1756530048.0,0.0,1
2018-06-07,607.687,616.144,601.693,605.187,1880140032.0,0.0,1
2018-06-08,605.443,608.811,595.593,601.077,1637779968.0,0.0,1
2018-06-11,524.857,536.858,515.269,533.284,1982119936.0,0.0,1
2018-06-12,532.71,538.955,491.235,496.843,1932760064.0,0.0,1
2018-06-13,498.018,501.905,459.004,477.494,2080130048.0,0.0,1
2018-06-14,478.381,523.545,467.466,519.742,2458650112.0,0.0,1
2018-06-15,520.48,521.305,487.469,491.004,1808269952.0,0.0,1
2018-06-18,499.383,521.796,494.066,518.891,1513869952.0,0.0,1
2018-06-19,519.023,542.353,516.312,537.957,1726569984.0,0.0,1
2018-06-20,538.506,541.015,519.369,536.268,1596290048.0,0.0,1
2018-06-21,536.447,543.717,524.259,527.367,1462070016.0,0.0,1
2018-06-22,527.194,527.194,456.877,465.817,2226030080.0,0.0,1
2018-06-25,455.936,470.344,448.896,460.31,4007950080.0,0.0,1
2018-06-26,460.733,461.213,432.772,432.772,1356560000.0,0.0,1
2018-06-27,432.244,444.243,424.839,442.365,1368940032.0,0.0,1
2018-06-28,442.29,443.618,419.683,422.365,1360790016.0,0.0,1
2018-06-29,422.587,441.793,407.947,436.009,1564499968.0,0.0,1
2018-07-02,453.824,479.13,447.111,475.347,1625789952.0,0.0,1
2018-07-03,475.386,483.854,462.582,464.195,1683939968.0,0.0,1
2018-07-05,467.287,483.225,464.629,474.412,1828610048.0,0.0,1
2018-07-06,474.357,479.652,457.615,474.012,1627609984.0,0.0,1
2018-07-09,488.878,490.852,475.175,476.682,1533799936.0,0.0,1
2018-07-10,476.162,478.318,433.96,434.424,1789069952.0,0.0,1
2018-07-11,434.515,447.316,429.507,446.518,1422470016.0,0.0,1
2018-07-12,446.502,446.502,422.81,430.074,1495440000.0,0.0,1
2018-07-13,430.741,442.363,430.741,434.027,1489670016.0,0.0,1
2018-07-16,450.425,480.658,446.798,480.658,1858680064.0,0.0,1
2018-07-17,480.077,508.78,468.915,501.002,2288100096.0,0.0,1
2018-07-18,500.838,513.433,474.359,480.513,2371559936.0,0.0,1
2018-07-19,480.628,483.24,465.142,469.619,2068739968.0,0.0,1
2018-07-20,469.307,469.307,443.693,450.698,1821350016.0,0.0,1
2018-07-23,459.439,469.766,449.728,450.853,1596999936.0,0.0,1
2018-07-24,451.136,481.142,450.565,479.373,2287520000.0,0.0,1
2018-07-25,479.906,482.868,466.474,472.493,1930780032.0,0.0,1
2018-07-26,472.331,483.696,461.424,464.037,1621560064.0,0.0,1
2018-07-27,464.009,473.222,458.291,469.666,1734259968.0,0.0,1
2018-07-30,466.827,467.952,448.641,457.081,2141590000.0,0.0,1
2018-07-31,457.245,457.245,430.444,433.867,1820680000.0,0.0,1
2018-08-01,433.869,435.457,410.464,420.747,1888060000.0,0.0,1
2018-08-02,420.806,425.034,410.309,412.621,1569300000.0,0.0,1
2018-08-03,412.567,420.549,399.91,418.262,1722340000.0,0.0,1
2018-08-06,410.567,414.54,403.315,406.658,1384880000.0,0.0,1
2018-08-07,406.801,411.405,376.077,380.215,1828350000.0,0.0,1
2018-08-08,379.892,380.671,353.734,356.613,2016080000.0,0.0,1
2018-08-09,356.971,370.946,353.614,365.588,1616610000.0,0.0,1
2018-08-10,365.776,367.045,329.586,334.176,1699400000.0,0.0,1
2018-08-13,320.21,323.551,284.934,286.495,1751190000.0,0.0,1
2018-08-14,286.365,286.365,254.65,278.932,2137850000.0,0.0,1
2018-08-15,280.387,303.59,280.119,282.364,1878150000.0,0.0,1
2018-08-16,282.741,298.476,280.928,288.046,1552970000.0,0.0,1
2018-08-17,287.683,316.17,287.346,315.729,1995460000.0,0.0,1
2018-08-20,301.381,304.372,273.511,274.315,1413790000.0,0.0,1
2018-08-21,273.331,285.97,273.331,281.944,1164120000.0,0.0,1
2018-08-22,281.968,297.486,264.998,271.341,1507660000.0,0.0,1
2018-08-23,271.748,279.546,271.09,277.104,1271160000.0,0.0,1
2018-08-24,278.111,283.302,273.86,282.967,1450170000.0,0.0,1
2018-08-27,275.35,285.603,273.65,285.603,1406790000.0,0.0,1
2018-08-28,286.649,297.4,283.572,296.499,1513350000.0,0.0,1
2018-08-29,296.163,297.071,287.287,289.312,1474460000.0,0.0,1
2018-08-30,289.753,291.243,275.211,284.105,1513100000.0,0.0,1
2018-08-31,284.12,284.551,278.513,283.004,1411910000.0,0.0,1
2018-09-04,289.297,291.58,284.255,285.723,1554870000.0,0.0,1
2018-09-05,286.045,288.163,232.331,232.331,2390390000.0,0.0,1
2018-09-06,231.648,231.755,218.123,230.215,2097310000.0,0.0,1
